date,node,country,transport,version,lower,upper,clients,frac
2014-01-27,bridge,,meek,,,,0,63
2014-01-28,bridge,,meek,,,,0,45
2014-01-30,bridge,,meek,,,,0,56
2014-01-31,bridge,,meek,,,,0,55
2014-02-01,bridge,,meek,,,,0,60
2014-02-04,bridge,,meek,,,,1,61
2014-02-05,bridge,,meek,,,,1,53
2014-02-06,bridge,,meek,,,,0,61
2014-02-07,bridge,,meek,,,,0,60
2014-02-08,bridge,,meek,,,,0,54
2014-02-09,bridge,,meek,,,,0,59
2014-02-10,bridge,,meek,,,,0,61
2014-02-11,bridge,,meek,,,,0,53
2014-02-12,bridge,,meek,,,,0,33
2014-02-13,bridge,,meek,,,,0,82
2014-02-15,bridge,,meek,,,,0,85
2014-02-16,bridge,,meek,,,,0,57
2014-02-17,bridge,,meek,,,,0,56
2014-02-18,bridge,,meek,,,,0,41
2014-02-21,bridge,,meek,,,,1,59
2014-02-22,bridge,,meek,,,,1,53
2014-02-23,bridge,,meek,,,,0,53
2014-02-24,bridge,,meek,,,,0,55
2014-02-25,bridge,,meek,,,,0,56
2014-02-26,bridge,,meek,,,,0,58
2014-02-27,bridge,,meek,,,,0,54
2014-03-01,bridge,,meek,,,,1,54
2014-03-02,bridge,,meek,,,,2,34
2014-03-03,bridge,,meek,,,,1,47
2014-03-04,bridge,,meek,,,,1,55
2014-03-05,bridge,,meek,,,,1,55
2014-03-06,bridge,,meek,,,,0,61
2014-03-07,bridge,,meek,,,,0,57
2014-03-08,bridge,,meek,,,,0,54
2014-03-09,bridge,,meek,,,,0,54
2014-03-10,bridge,,meek,,,,0,57
2014-03-18,bridge,,meek,,,,0,58
2014-03-19,bridge,,meek,,,,0,58
2014-03-20,bridge,,meek,,,,1,44
2014-03-21,bridge,,meek,,,,1,53
2014-03-22,bridge,,meek,,,,1,51
2014-03-23,bridge,,meek,,,,1,53
2014-03-24,bridge,,meek,,,,0,54
2014-03-25,bridge,,meek,,,,0,55
2014-03-26,bridge,,meek,,,,0,52
2014-03-27,bridge,,meek,,,,0,54
2014-03-28,bridge,,meek,,,,2,53
2014-03-29,bridge,,meek,,,,1,50
2014-03-30,bridge,,meek,,,,0,52
2014-03-31,bridge,,meek,,,,1,49
2014-04-01,bridge,,meek,,,,0,53
2014-04-02,bridge,,meek,,,,1,53
2014-04-03,bridge,,meek,,,,1,53
2014-04-04,bridge,,meek,,,,1,51
2014-04-05,bridge,,meek,,,,1,48
2014-04-06,bridge,,meek,,,,1,49
2014-04-07,bridge,,meek,,,,1,43
2014-04-08,bridge,,meek,,,,3,44
2014-04-09,bridge,,meek,,,,4,52
2014-04-10,bridge,,meek,,,,4,50
2014-04-11,bridge,,meek,,,,2,52
2014-04-12,bridge,,meek,,,,1,49
2014-04-13,bridge,,meek,,,,0,35
